Time Elapsed(s), Load Average, Free Memory Percentage, Throughput(TPS)
10,2.06,18.42,0.0
20,2.04,16.09,0.0
30,2.13,9.45,4166.5
40,4.02,3.58,6571.7
50,4.68,1.56,9164.7
60,5.58,1.28,9457.2
70,5.95,1.24,7589.1
80,5.5,1.02,6240.5
90,5.03,1.33,5485.3
100,4.95,.95,5710.0
110,4.49,1.27,5030.6
120,4.95,1.51,5256.8
130,4.64,1.53,5278.3
140,4.7,1.42,5380.1
150,4.51,1.14,4594.4
160,4.81,1.18,4514.3
170,4.46,1.28,5427.9
180,4.78,1.26,7241.4
190,4.75,1.06,7778.4
200,5.07,1.29,6431.6
210,4.98,1.03,5770.3
220,4.91,1.37,5396.9
230,4.92,1.27,5026.6
240,4.47,1.38,5608.2
250,4.17,1.15,4046.2
260,4.72,1.71,2041.5
270,5.53,1.37,1385.4
280,6.53,1.47,1334.2
290,7.22,1.30,1151.9
300,7.67,1.38,1622.5
310,8.01,2.40,2182.4
320,8.31,2.51,2656.9
330,7.41,9.39,4379.1
340,6.94,9.51,5701.8
350,6.56,9.43,5080.1
360,6.4,9.54,5279.0
370,5.65,9.66,4869.1
380,5.41,9.53,4615.2
390,5.28,9.40,6179.3
400,4.86,9.44,6161.5
410,4.51,9.06,5219.7
420,4.82,9.09,5022.4
430,4.79,8.53,4498.3
440,4.6,8.35,4991.4
450,4.94,8.57,5779.2
460,4.87,8.38,7873.8
470,4.74,8.39,8214.5
480,4.32,8.41,9043.7
490,4.11,8.45,9705.7
500,4.26,8.45,9675.5
510,4.45,8.40,9550.0
520,4.46,8.41,10157.4
530,4.69,8.39,10364.5
540,4.97,8.19,10647.3
550,5.27,8.18,10119.5
560,4.91,8.13,10147.3
570,4.7,8.16,10695.2
580,4.75,8.36,10524.4
590,4.85,8.21,11572.2
600,5.02,8.91,9877.1
610,5.15,9.02,7267.5
620,4.81,8.24,6374.9
630,5.0,8.18,6882.1
640,5.1,8.58,7740.9
650,4.84,8.44,8045.6
660,5.09,7.93,7541.1
670,5.39,7.31,8070.8
680,5.33,7.22,8782.3
690,5.26,7.17,10642.5
700,4.76,7.18,9940.6
710,4.81,7.26,10598.7
720,4.85,7.12,9737.7
730,4.96,6.83,9220.6
740,4.98,6.81,10204.9
750,5.2,6.57,9696.9
760,5.02,6.57,10115.7
770,5.09,6.85,10126.3
780,4.77,6.82,9826.7
790,4.74,6.93,10082.0
800,4.79,6.89,9549.9
810,4.9,6.77,9759.6
820,4.99,6.72,9012.9
830,5.07,6.75,9004.7
840,5.37,6.99,10014.7
850,5.32,6.93,10073.9
860,5.28,7.01,9939.7
870,5.46,7.01,7914.1
880,5.62,7.00,8292.6
890,5.45,6.97,8468.4
900,5.15,6.99,6133.8
910,5.04,6.67,5426.1
920,5.26,6.68,5471.4
930,5.93,6.62,6403.2
940,5.71,7.11,6107.9
950,5.3,6.87,6764.1
960,5.41,6.76,8148.8
970,5.35,6.85,8079.0
980,5.75,7.08,8615.4
990,5.47,7.01,8236.6
1000,5.31,7.05,5537.0
1010,5.87,6.91,4006.8
1020,5.36,6.80,2958.4
1030,5.3,6.68,2627.2
1040,5.94,6.65,2659.1
1050,6.65,6.66,3675.3
1060,6.25,6.56,4672.6
1070,6.22,6.34,5147.8
1080,5.96,7.23,5187.3
1090,5.12,7.22,739.2
1100,4.33,7.20,0.0
1110,3.67,7.03,0.0
1120,3.42,6.48,0.0
1130,3.04,12.63,0.0
